transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/10/2023 12:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,23,0,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Fair Fare,2,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Full Fare,6,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Other,2,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,3,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,omny,OMNY - Full Fare,18,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,2,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,321,18 St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,10,0,40.74103927612305,-73.99787139892578,POINT (-73.99787139892578 40.74103927612305)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Fair Fare,6,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Full Fare,30,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Seniors & Disability,2,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Other,5,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,20,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,25,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,323,Christopher St-Sheridan Sq (1),Manhattan,omny,OMNY - Full Fare,133,0,40.733421325683594,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Fair Fare,2,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Full Fare,19,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,1,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Other,2,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,11,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,5,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Fair Fare,1,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,324,Houston St (1),Manhattan,omny,OMNY - Full Fare,49,0,40.72825241088867,-74.00536346435547,POINT (-74.00536346435547 40.72825241088867)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,1,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Other,2,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Full Fare,13,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,6,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,20,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Fair Fare,1,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
